Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
Serpentinen,Bov Bjerg,,Claassen,9783546100038,50461247,hardcover,read,2021/01/14,3,,No,266,2020,,3.66,Germany,male,German,Fiction
Die Elenden,Anna Mayr,,Hanser Berlin,9783446268401,53448946,hardcover,read,2020/12/27,4,,No,200,2020,,4.22,Germany,female,German,Nonfiction
Die unerträgliche Leichtigkeit des Seins,Milan Kundera,Susanna Roth,Fischer,,9718,paperback,read,2019/01/01,5,,No,304,1987,1984,4.11,"France, Czech Republic, Czechoslovakia, statelessness",male,German,Fiction
Conversations with Friends,Sally Rooney,,Hogarth,,32187419,digital,read,2020/12/16,2,,No,304,2017,2017,3.76,Republic of Ireland,female,English,Fiction
Unfuck The Economy,Waldemar Zeiler,,Goldmann,,54434629,,read,2020/11/14,4,,No,150,2020,,3.97,Germany,male,German,Business
Duffy,Dan Kavanagh,,Orion,9781409150176,18804856,hardcover,read,2020/11/14,2,,No,320,2014,1980,3.32,United Kingdom,male,English,Crime
Normale Menschen,Sally Rooney,Zoë Beck,Luchterhand Literaturverlag,,53318758,digital,read,2020/10/31,4,,No,321,2020,2018,3.81,Ireland,female,Germany,Fiction
Uns gehört die Nacht,Jardine Libaire,,Diogenes Verlag AG,,41021189,paperback,read,,3,,No,451,2018,2017,3.30,United States of America,female,German,Fiction
Untenrum frei,Margarete Stokowski,,"Rowohlt, Reinbek",9783498064396,30258435,hardcover,read,2020/10/29,4,,No,252,2016,2016,4.50,"Germany, Polish People's Republic, Poland",female,German,Feminism
Nothing,Janne Teller,Martin Aitken,Atheneum Books for Young Readers,9781416985792,6647312,hardcover,read,2020/10/24,3,,No,227,2010,2000,3.71,Denmark,female,English,Young Adult
MONEYMAKERS: Wie du die Börse für dich entdecken kannst (German Edition),Aya Jaff,,FinanzBuch Verlag,,53351513,digital,read,2020/10/01,3,,No,242,2020,,3.32,Germany,female,German,Nonfiction
"Sag den Wölfen, ich bin zu Hause",Carol Rifka Brunt,,Eisele,9783961610075,36979036,hardcover,read,2020/10/21,2,,No,448,2018,2012,4.03,United States of America,female,German,Fiction
"Alle, außer mir (Quartbuch) (German Edition)",Francesca Melandri,Esther Hansen,Verlag Klaus Wagenbach,,40613435,digital,read,2020/10/14,3,,No,608,2018,2017,4.08,Italy,female,German,Fiction
Unsere glücklichen Tage,Julia Holbe,,Penguin Verlag ,9783328601104,50370530,hardcover,read,2020/10/06,3,,No,320,2020,,3.36,"Luxembourg, Germany",female,German,Fiction
Automating Humanity,Joe Toscano,,powerHouse Books,9781576879207,40993344,hardcover,to-read,,0,,No,288,2018,,3.72,United States of America,male,English,Nonfiction
Gun Love,Jennifer Clement,,Hogarth,9781781090640,35661769,hardcover,read,2020/09/29,4,,No,240,2018,2018,3.70,United States of America,female,English,Fiction
Die dunkle Seite des Mondes,Martin Suter,,Diogenes,9783257233018,1688598,paperback,read,2020/09/27,3,,No,315,2001,2000,3.91,Switzerland,male,German,Fiction
"Die Zweisamkeit der Einzelgänger (Alle Toten fliegen hoch, #4)",Joachim Meyerhoff,,Kiepenheuer & Witsch,9783462049442,36190526,hardcover,to-read,,0,,No,416,2017,2017,3.86,Germany,male,German,Fiction
Corpus Delicti: Ein Prozess,Juli Zeh,,Schöffling,9783895614347,6309229,hardcover,read,2020/09/19,3,,No,264,2009,2009,3.33,Germany,female,German,Fiction
Adler und Engel,Juli Zeh,,btb ,9783442729265,1044706,paperback,read,2020/09/11,3,,No,448,2003,2001,3.46,Germany,female,German,Fiction
"Find Me (Call Me By Your Name, #2)",André Aciman,,"Farrar, Straus and Giroux",9780374155018,44581535,hardcover,read,2020/08/15,3,,No,260,2019,2019,3.26,United States of America,male,English,Romance
Der letzte Weynfeldt,Martin Suter,,Diogenes,9783257066302,2772359,hardcover,to-read,,0,,No,315,2008,2008,3.93,Switzerland,male,German,Fiction
Sprache und Sein,Kübra Gümüşay,,Hanser Berlin,9783446265950,50243029,hardcover,read,2020/07/12,3,,No,208,2020,2020,4.33,"Germany, Turkey",female,German,Nonfiction
Konzentriert arbeiten: Regeln für eine Welt voller Ablenkungen (German Edition),Cal Newport,Jordan T.A. Wegberg,Redline Verlag,9783864149351,34757555,digital,read,2020/07/07,4,,No,274,2017,2016,4.18,United States of America,male,German,Nonfiction
El juego del ángel,Carlos Ruiz Zafón,,Planeta,9788408107620,52693750,paperback,read,,5,,No,667,2008,2008,4.00,Spain,male,Spanish,Fiction
Die Häupter meiner Lieben,Ingrid Noll,,Diogenes Verlag AG,9783257227260,1823730,paperback,read,,3,,No,279,2000,1993,4.00,"Germany, People's Republic of China",female,German,Fiction
Léon und Louise,Alex Capus,,Hanser,9783446236301,10190261,hardcover,read,,4,,No,320,2011,2011,3.82,"Switzerland, France",male,German,Fiction
Kolumbien am Scheideweg: Ein Land zwischen Krieg und Frieden (German Edition),Werner Hörtner,,Rotpunktverlag,9783858695772,25442796,digital,read,,5,,No,296,2013,2013,4.50,Germany,male,German,Nonfiction
Das Paradies meines Nachbarn,Nava Ebrahimi,,btb Verlag,9783442758692,50656731,hardcover,read,2020/05/28,2,,No,224,2020,,3.68,"Germany, Iran",female,German,Iran
Brida,Paulo Coelho,,Planeta,9789504915249,68591,paperback,read,2020/05/21,2,,No,264,2006,1990,3.50,Brazil,male,other,Fiction
Marianengraben,Jasmin Schreiber,,Eichborn Verlag,9783847900429,48652936,hardcover,read,2020/05/18,4,,No,252,2020,2020,4.21,Germany,female,German,Fiction
Ein einfaches Leben,Min Jin Lee,,dtv Verlagsgesellschaft,,42292663,digital,read,2020/05/07,2,,No,629,2018,2017,4.33,"South Korea, United States of America",female,German,Historical Fiction
Deutsches Haus,Annette Hess,,Ullstein,9783550050244,41820865,hardcover,read,2020/04/14,4,,No,368,2018,2018,3.67,Germany,female,German,Historical Fiction
Run Me to Earth,Paul Yoon,,S&S/ Marysue Rucci Books,9781501154041,46221896,hardcover,to-read,,0,,No,272,2020,2020,3.68,United States of America,male,English,Historical Fiction
Der Teufel von Mailand,Martin Suter,,Diogenes,9783257065343,1688602,hardcover,read,2020/04/19,2,,No,298,2006,2006,3.60,Switzerland,male,German,Fiction
Der Vorleser,Bernhard Schlink,,Diogenes,9783257229530,233858,paperback,read,,5,,No,207,1997,1995,3.78,Germany,male,German,Fiction
"Die Zeit, die Zeit",Martin Suter,,Diogenes Verlag,9783257862195,14290831,hardcover,read,,3,,No,300,2012,2012,3.77,Switzerland,male,German,Fiction
Vom Ende der Einsamkeit,Benedict Wells,,Diogenes,9783257069587,28051948,hardcover,read,,5,,No,355,2016,2016,4.37,"Switzerland, Germany",male,German,Fiction
Miroloi,Karen Köhler,,Hanser,9783446261716,45716400,hardcover,read,,2,,No,464,2019,2019,4.18,Germany,female,German,Fiction
Der Wal und das Ende der Welt,John Ironmonger,"Maria Poets, Tobias Schnettler",S. Fischer,9783103974270,44160615,hardcover,read,2020/01/01,5,,No,480,2019,2015,4.01,,male,German,Fiction
Neujahr,Juli Zeh,,Luchterhand,9783630875729,40094855,hardcover,read,2020/01/01,4,,No,192,2018,2018,3.73,Germany,female,German,Fiction
Der Schatten des Windes,Carlos Ruiz Zafón,Peter Schwaar,Insel-Verl.,9783458173304,942191,hardcover,read,,5,,No,564,2006,2005,4.30,Spain,male,German,Fiction
Die unendliche Geschichte,Michael Ende,,Thienemanns,9783522128001,96290,hardcover,to-read,,0,,No,428,1979,1979,4.18,Germany,male,German,Fantasy
"Tintentod (Tintenwelt, #3)",Cornelia Funke,,Cecilie Dressler Verlag,9783791504766,1574434,hardcover,read,,5,,No,761,2007,2007,3.97,Germany,female,German,Fantasy
"Tintenblut (Tintenwelt, #2)",Cornelia Funke,,Cecilie Dressler Verlag,9783791504674,292125,hardcover,read,,5,,No,736,2005,2005,3.94,Germany,female,German,Fantasy
"Reckless (Mirrorworld, #1)",Cornelia Funke,"Yngve Bjørn Berven, Oliver Latsch",Little Brown Hachette,9780316056090,7823592,hardcover,read,,3,,No,394,2010,2010,3.75,Germany,female,English,Fantasy
"Tintenherz (Tintenwelt, #1)",Cornelia Funke,,Cecilie Dressler Verlag,9783791504650,292110,hardcover,read,,5,,No,564,2003,2003,3.92,Germany,female,German,Fantasy
Das achte Leben (Für Brilka),Nino Haratischwili,,Frankfurter Verlagsanstalt,9783627002084,22896424,hardcover,to-read,,0,,No,1280,2014,2014,4.52,"Georgia, Soviet Union",female,German,Historical Fiction
Was man von hier aus sehen kann,Mariana Leky,,Dumont,9783832198398,35274984,hardcover,read,,5,,No,319,2017,2017,4.28,Germany,female,German,Fiction
"Nexus (Nexus, #1)",Ramez Naam,ARGH! Oxford,Angry Robot,9780857662934,13642710,paperback,read,,4,,No,460,2012,2012,4.04,"United States of America, Egypt",male,English,Science Fiction
Mondjahre (Die Jahrhundert-Saga #1),Eva-Maria Bast,,Gmeiner Verlag,9783839243848,24276538,digital,read,,4,,No,478,2014,2014,3.80,Germany,female,German,N/A
Passagier 23,Sebastian Fitzek,,Droemer Knaur,9783426199190,22022939,hardcover,read,,4,,No,426,2014,2014,4.03,Germany,male,German,Thriller
"Me Before You (Me Before You, #1)",Jojo Moyes,,Pamela Dorman Books/Viking,9780670026609,15507958,hardcover,read,,4,,No,369,2012,2012,4.26,United Kingdom,female,English,Romance
"Kinder der Freiheit (Die Jahrhundert-Saga, #3)",Ken Follett,,Bastei Lübbe,9783785725108,22305428,hardcover,read,,5,,No,1216,2014,2014,4.19,"Wales, United Kingdom",male,German,Historical Fiction
"Spiel der Zeit (Die Clifton-Saga, #1)",Jeffrey Archer,,Heyne,9783453471344,25671138,paperback,read,,3,,No,557,2015,2011,4.10,United Kingdom,male,German,Fiction
Diabolus,Dan Brown,,Bastei Lübbe,9783404157624,1618271,paperback,read,,5,,No,524,2007,1998,3.70,United States of America,male,German,Fiction
"Origin (Robert Langdon, #5)",Dan Brown,,Doubleday,9780385514231,32283133,hardcover,read,,5,,No,461,2017,2017,3.89,,male,English,Fiction
"Inferno (Robert Langdon, #4)",Dan Brown,,Doubleday,9780385537858,17212231,hardcover,read,,5,,No,463,2013,2013,3.89,,male,English,Fiction
Leere Herzen,Juli Zeh,,Luchterhand Literaturverlag,9783630875231,36110970,hardcover,read,,4,,No,352,2017,2017,3.55,Germany,female,German,Fiction
Die Achse meiner Welt,Dani Atkins,Birgit Moosmüller,Knaur TB,9783426515396,22375768,paperback,read,,5,,No,320,2014,2013,3.79,United Kingdom,female,German,Romance
Tyll,Daniel Kehlmann,,Rowohlt,9783498035679,36130507,hardcover,read,,2,,No,474,2017,2017,3.94,"Austria, Germany",male,German,Fiction
Das Ting,Artur Dziuk,,dtv bold,9783423230063,46146837,hardcover,read,,2,,No,463,2019,,3.69,Poland,male,German,Fiction
Nullzeit,Juli Zeh,,Schöffling & Co.,9783895614361,15786258,hardcover,read,,5,,No,256,2012,2012,3.52,Germany,female,German,Fiction
Das Labyrinth der Wörter,Marie-Sabine Roger,Claudia Kalscheuer,Hoffmann und Campe,9783455402544,7874744,hardcover,read,,3,,No,205,2010,2008,3.85,France,female,German,Fiction
Veronika Decides to Die,Paulo Coelho,Margaret Jull Costa,Harper Perennial,9780061124266,1431,paperback,read,,3,,No,285,2006,1998,3.73,Brazil,male,English,Fiction
Das Café am Rande der Welt,John P. Strelecky,Bettina Lemke,dtv,9783423209694,1780947,paperback,read,,3,,No,128,2007,2003,3.56,United States of America,male,German,Fiction
Der Schwarm,Frank Schätzing,,Fischer Taschenbuch Verlag,9783596164530,1168487,paperback,read,,5,,No,987,2005,2004,4.09,Germany,male,German,Science Fiction
Nachtzug nach Lissabon,Pascal Mercier,,btb,9783442734368,1233627,paperback,read,,5,,No,496,2006,2004,3.74,Switzerland,male,German,Fiction
Löwen wecken,Ayelet Gundar-Goshen,,Kein & Aber,9783036957142,24260515,hardcover,read,,3,,No,432,2015,2013,3.80,Israel,female,German,Fiction
Der Geruch des Paradieses,Elif Shafak,Michaela Grabinger,"Kein und Aber (Bücher+Tonträger), Zürich",9783036993454,32490274,digital,read,,5,,No,502,2016,2016,3.82,"United Kingdom, Turkey",female,German,Fiction
Ehre,Elif Shafak,Michaela Grabinger,Kein & Aber,9783036956763,20798606,hardcover,read,,5,,No,528,2014,2011,4.13,"United Kingdom, Turkey",female,German,Fiction
"Eine Nacht, Markowitz",Ayelet Gundar-Goshen,Ruth Achlama,"Kein und Aber (Bücher+Tonträger), Zürich",,19395695,digital,read,,2,,No,433,2013,2012,3.92,Israel,female,German,Israel
Der Fall Collini,Ferdinand von Schirach,,Piper,9783492054751,12431313,hardcover,read,,5,,No,208,2011,2011,4.11,Germany,male,German,Fiction
Herr Sonneborn geht nach Brüssel - Abenteuer im Europaparlament,Martin Sonneborn,,Kiepenheuer & Witsch,9783462052619,44290242,paperback,read,,5,,No,427,2019,2019,4.26,Germany,male,German,Nonfiction
Schuldig,Jodi Picoult,,Piper,9783492050302,10532078,hardcover,read,,4,,No,416,2011,2006,3.53,United States of America,female,German,Fiction
Untreue (German Edition),Paulo Coelho,,Sant Jordi Asociados,,23314913,hardcover,read,,5,,No,320,2014,2012,3.09,Brazil,male,German,Fiction
Ich war Diener im Hause Hobbs,Verena Roßbacher,,Kiepenheuer&Witsch,9783462048261,41440900,hardcover,read,,2,,No,384,2018,,3.52,Austria,female,German,Fiction
"Ostfriesenfluch (Ann Kathrin Klaasen, #12)",Klaus-Peter Wolf,,Fischer,9783596036349,38336540,paperback,read,,1,,No,512,2018,2018,3.88,Germany,male,German,Thriller
Nineteen Minutes,Jodi Picoult,,Atria,9780743496728,14866,hardcover,read,,5,,No,440,2007,2007,4.16,United States of America,female,English,Fiction
"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,,Simon & Schuster Books for Young Readers,9781442426733,20698530,hardcover,read,,1,,No,337,2015,2015,4.02,United States of America,female,English,Romance
Pride and Prejudice,Jane Austen,Anna Quindlen,Modern Library,,1885,paperback,read,,2,,No,279,2000,1813,4.29,United Kingdom,female,English,Fiction
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,,"Little, Brown and Company",9780316015844,41865,paperback,read,,2,,No,498,2006,2005,3.65,United States of America,female,English,Fantasy
"The Hobbit, Part One",J.R.R. Tolkien,David Wyatt,HarperCollins Children's Books,9780007926664,17157681,paperback,read,,1,,No,230,2012,1937,4.31,United Kingdom,male,English,Fantasy
Life of Pi,Yann Martel,,Seal Books,9780770430078,4214,paperback,read,,5,,No,460,2006,2001,3.94,"Canada, Spain",male,English,Fiction
"The Notebook (The Notebook, #1)",Nicholas Sparks,,Grand Central Publishing,,33648131,digital,read,,3,,No,227,2016,1996,4.15,United States of America,male,English,Romance
The Fault in Our Stars,John Green,,Dutton Books,,11870085,hardcover,read,,5,,No,313,2012,2012,4.13,United States of America,male,English,Young Adult
Gone Girl,Gillian Flynn,,Broadway Books,,19288043,paperback,read,,5,,No,415,2014,2012,4.14,United States of America,female,English,Fiction
"Angels & Demons (Robert Langdon, #1)",Dan Brown,,Pocket Books,9781416524793,960,paperback,read,,5,,No,736,2006,2000,3.94,,male,English,Fiction
To Kill a Mockingbird,Harper Lee,,Harper Perennial Modern Classics ,,2657,paperback,to-read,,0,,No,323,2006,1960,4.26,United States of America,female,English,Classics
One Hundred Years of Solitude,Gabriel García Márquez,Gregory Rabassa,Harper,,320,mass market paperback,read,,3,,No,417,2003,1967,4.12,Colombia,male,English,Fiction
The Alchemist,Paulo Coelho,,HarperOne,9780062315007,18144590,paperback,read,,3,,No,182,2014,1988,3.91,Brazil,male,English,Fiction
The Little Prince,Antoine de Saint-Exupéry,Richard Howard,"Harcourt, Inc.",,157993,paperback,read,,4,,No,96,2000,1943,4.33,France,male,English,Fiction
El coronel no tiene quien le escriba,Gabriel García Márquez,José Colaço Barreiros,Plaza & Janés,9780307350435,23875,paperback,read,,2,,No,104,2006,1961,3.80,Colombia,male,Spanish,Fiction
Dan Brown 2 book set: Inferno + Ángeles y demonios,Dan Brown,,Editorial Planeta,9788408118299,25265146,digital,read,,5,,No,640,2013,,4.09,United States of America,male,Spanish,N/A
Pack Zafón Booket (La Sombra del Viento + El Juego del Ángel),Carlos Ruiz Zafón,,Booket,9788408006312,40778269,mass market paperback,read,,5,,No,1268,2012,,4.59,Spain,male,Spanish,Fiction
"Dispara, yo ya estoy muerto",Julia Navarro,,Vintage Espanol,9780345805263,18050082,paperback,to-read,,0,,No,912,2013,2013,4.36,Spain,female,Spansish,Historical Fiction
Winter of the World (The Century Trilogy #2),Ken Follett,,Berkley,9780525952923,12959233,hardcover,read,,5,,No,940,2012,2012,4.37,"Wales, United Kingdom",male,English,Historical Fiction
Les Misérables,Victor Hugo,"Charles E. Wilbour, Isabel Florence Hapgood, Lee Fahnestock, Norman MacAfee",Penguin,,24280,paperback,read,,5,,No,1463,1987,1862,4.20,France,male,English,Classics
The Alice Network,Kate Quinn,,William Morrow Paperbacks,,32051912,paperback,to-read,,0,,No,503,2017,2017,4.32,United States of America,female,English,Historical Fiction
"Fall of Giants (The Century Trilogy, #1)",Ken Follett,,Viking,9780525951650,7315573,hardcover,read,,5,,No,985,2010,2010,4.32,"Wales, United Kingdom",male,English,Historical Fiction
The Boy in the Striped Pajamas,John Boyne,,David Fickling Books,,39999,hardcover,read,,5,,No,224,2006,2006,4.16,"United Kingdom of Great Britain and Ireland, United Kingdom",male,English,Historical Fiction
Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Ola Rosling, Anna Rosling Rönnlund",Sceptre,9781473637467,34890015,hardcover,read,,2,,No,342,2018,2018,4.36,Sweden,male,English,Nonfiction
21 Lessons for the 21st Century,Yuval Noah Harari,,Random House,9780525512172,38820046,hardcover,read,,4,,No,372,2018,2018,4.17,Israel,male,English,Nonfiction
The 4-Hour Workweek,Timothy Ferriss,,Harmony,9780307353139,368593,ebook,read,,3,,No,308,2007,2007,3.92,United States of America,male,English,Business
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,,Scribner,,34466963,hardcover,read,,5,,No,368,2017,2017,4.38,United States of America,male,English,Nonfiction
"Thinking, Fast and Slow",Daniel Kahneman,,"Farrar, Straus and Giroux",9780374275631,11468377,hardcover,read,,2,,No,499,2011,2011,4.18,"United States of America, Israel",male,English,Nonfiction
Sapiens: A Brief History of Humankind,Yuval Noah Harari,,Vintage,,23692271,paperback,read,,5,,No,512,2015,2011,4.36,Israel,male,English,Nonfiction
