Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
The Inheritance,Matthew Lopez,,Faber & Faber,B0BXQWG4L1,49097680,audio,read,2024/04/02,5.0,,Yes,297,2020,2018,4.51,United States of America,male,English,Plays
You Asked for Perfect,Laura Silverman,,Sourcebooks Fire,9781492658276,33299465,paperback,to-read,,,,No,267,2019,2019,3.79,,female,English,Contemporary
One Way or Another,Kara McDowell,Erin Spencer (Narrator),Scholastic Audio,9781338691719,55871301,audio,read,2022/09/19,3.0,,No,9,2020,2020,3.80,United States of America,female,English,Romance
Holding Still for as Long as Possible,Zoe Whittall,Stephen Ira (Narrator),Dreamscape Media,9781690597957,65469174,audio,read,2022/10/03,4.0,"<div>I initially gave this three stars and then added a fourth because I don't think much happened in this book, but after I was done I realised I'd quite liked spending time with the characters.</div>",No,0,2020,2009,3.65,Canada,female,English,Fiction
Dinner at the Homesick Restaurant,Anne Tyler,,Ballantine Books,9780449911594,77699,paperback,to-read,,,,No,303,1996,1982,3.81,,female,English,Fiction
Rivers of London,Ben Aaronovitch,,Orion Publishing Group,9780575097575,10386884,paperback,currently-reading,,,,Yes,392,2011,2011,3.86,United Kingdom,male,English,Fantasy
Recovering: A Journal,May Sarton,,W. W. Norton  Company,9780393317176,543232,paperback,to-read,,,,No,248,1997,1980,4.10,"United States of America, Belgium",female,English,Memoir
Cook Korean!: A Comic Book with Recipes,Robin Ha,,Ten Speed Graphic,9781607748878,27209316,paperback,to-read,,,,No,176,2016,2016,4.34,,female,English,Cookbooks
The Darkest Part of the Forest,Holly Black,,"Little, Brown Books for Young Readers",9780316536219,45450063,paperback,to-read,,,,No,368,2019,2015,3.87,United States of America,female,English,Fantasy
Gender Outlaws: The Next Generation,"Kate Bornstein, S. Bear Bergman",,Seal Press,9781580053082,7922146,paperback,to-read,,,,No,304,2010,2010,4.09,United States of America,non-binary; trans man,English,Queer
X,Davey Davis,,Catapult,9781646220939,55949809,paperback,to-read,,,,No,288,2022,2022,3.39,,,English,Fiction
Boiling a Frog,Christopher Brookmyre,,Time Warner Paperbacks,9780751531824,828366,paperback,to-read,,,,Yes,416,2001,2000,3.97,United Kingdom,male,English,Crime
The Secret Life of Bees,Sue Monk Kidd,,Penguin Books,9780142001745,37435,paperback,to-read,,,,No,302,2003,2001,4.09,United States of America,female,English,Fiction
Wie der Wahnsinn mir die Welt erklärte,Dita Zipfel,Rán Flygenring (Illustrator),Carl Hanser Verlag,9783446264441,50188830,hardcover,read,2024/03/09,4.0,,No,208,2019,,3.60,Germany,female,German,Fiction
Queen Unseen: My Life with the Greatest Rock Band of the 20th Century,Peter Hince,,John Blake,9781843587484,11923853,hardcover,to-read,,,,No,323,2011,2011,3.68,,male,English,Music
Wise Children,Angela Carter,,"Farrar, Straus and Giroux",9780374530945,1346621,paperback,to-read,,,,No,234,2007,1991,3.90,United States of America,female,English,Fiction
Wuthering Heights,Emily Brontë,,Collector's Library,9781904633044,644595,hardcover,to-read,,,,Yes,412,2010,1847,3.89,,,English,Classics
Queen in 3-D,Brian May,,The London Stereoscopic Company,9780957424685,34830944,hardcover,to-read,,,,No,253,2017,,4.66,,male,English,Nonfiction
The Private Life of Plants: A Natural History of Plant Behaviour,David Attenborough,,Princeton University Press,9780691006390,413678,hardcover,to-read,,,,No,320,1995,1994,4.43,United Kingdom,male,English,Science
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,,Portfolio,9780525536543,43152489,digital,to-read,,,,No,304,2019,2019,4.06,United States of America,male,English,Nonfiction
Guards! Guards!,Terry Pratchett,,Random House,9780552134620,233679,paperback,read,2023/06/29,5.0,,Yes,412,1990,1989,4.34,United Kingdom,male,English,Fantasy
Utopia for Realists: How We Can Build the Ideal World,Rutger Bregman,,Back Bay Books,9780316471916,35604693,paperback,to-read,,,,No,336,2018,2014,4.22,"Kingdom of the Netherlands, Netherlands",male,English,Nonfiction
"Vielleicht ging es immer darum, dass wir Feuer spucken",Isabel Waidner,Ann Cotten (Translator),,9783832168377,201862380,hardcover,read,2024/07/16,4.0,,Yes,,,,,Germany,non-binary,German,Fiction
Eric,Terry Pratchett,,,9780575096295,7992435,paperback,read,2023/08/24,3.0,"<div>I'll be honest, this one felt more like a writing exercise to fill in more of the world than a novel with a narrative arc. The edition I read wasn't illustrated, but I'm not sure if that would have made a difference for me.</div>",Yes,128,,1990,3.78,United Kingdom,male,English,Fantasy
Babel,R.F. Kuang,,Harper Voyager,9780008501815,59879803,hardcover,to-read,,,,No,542,2022,2022,4.18,People's Republic of China,female,English,Fantasy
The Kitchen Diaries: A Year in the Kitchen with Nigel Slater,Nigel Slater,Jonathan Lovekin,Gotham,9781592402342,71955,hardcover,to-read,,,,No,416,2006,2005,4.30,United Kingdom,male,English,Cookbooks
To the Lighthouse,Virginia Woolf,,Vintage Publishing,9780099478294,44244609,paperback,to-read,,,,Yes,224,2011,1927,3.80,United Kingdom,female,English,Classics
We Have Always Lived in the Castle,Shirley Jackson,"Thomas Ott (Illustrator), Jonathan Lethem (Contributor)",Penguin Books,9780143039976,89724,paperback,to-read,,,,No,146,2006,1962,3.93,United States of America,female,English,Horror
"The Long Way to a Small, Angry Planet",Becky Chambers,,CreateSpace Independent Publishing Platform ,9781500453305,22733729,paperback,to-read,,,,No,518,2014,2014,4.18,,,English,Science Fiction
Rooftoppers,Katherine Rundell,,Faber & Faber Children’s,9780571280599,17350491,paperback,to-read,,,,No,278,2013,2013,4.06,United Kingdom,female,English,Middle Grade
Dialektik der Aufklärung. Philosophische Fragmente,"Max Horkheimer, Theodor W. Adorno",,FISCHER Taschenbuch,9783596274048,1231344,paperback,to-read,,,,No,275,1989,1947,4.11,"United States of America, Germany; United States of America, Switzerland, Austria, Germany, German Empire",male,German,Philosophy
Sorcerer to the Crown,Zen Cho,,Macmillan,9781447299455,25615305,hardcover,to-read,,,,No,416,1776,2015,3.73,Malaysia,female,English,Fantasy
"Crowded, Vol. 1",Christopher Sebela,,Image Comics,9781534310544,40629270,paperback,to-read,,,,No,169,2019,2019,3.97,United States of America,male,English,Graphic Novels
Ponies At The Edge Of The World,"Catherine Munro, Catherine Munro",,Rider,9781846047275,62897703,paperback,to-read,,,,No,0,2023,,3.98,,female,English,Nonfiction
Zeus Grants Stupid Wishes: A No-Bullshit Guide to World Mythology,Cory O'Brien,Sarah E. Melville (Illustrator),TarcherPerigee,9780399160400,15808302,paperback,to-read,,,,No,304,2013,2013,4.00,,male,English,Mythology
A Raisin in the Sun,Lorraine Hansberry,,Random House,9780375508332,5517,hardcover,to-read,,,,No,162,2002,1959,3.85,United States of America,female,English,Plays
The Emerald Planet: How Plants Changed Earth's History,David Beerling,,Oxford University Press,9780192806024,1044031,hardcover,to-read,,,,No,312,2007,2007,4.05,United Kingdom,male,English,Science
"Eloquent Javascript, 3rd edition",Marijn Haverbeke,Madalina Tantareanu (Illustrator),No Starch Press,9781593279516,39866497,paperback,to-read,,,,No,474,2018,2010,4.15,,male,English,Programming
Forbidden Lives: Lgbt Histories from Wales,Norena Shopland,,Seren,9781781724101,35721265,paperback,to-read,,,,No,248,2018,,3.95,,female,English,History
Northern Lights,Philip Pullman,Chris Wormell (Illustrator),Scholastic,9781407186108,36452634,paperback,to-read,,,,No,397,2017,1995,4.02,United Kingdom,male,English,Fantasy
The Little Stranger,Sarah Waters,,Virago Press,9781844086023,6080182,paperback,to-read,,,,No,501,2009,2009,3.57,,female,English,Historical Fiction
Girl Saves Boy,Steph Bowe,,Text Publishing,9781921656590,7944308,paperback,to-read,,,,No,288,2010,2010,3.67,Australia,female,English,Young Adult
Of Fire and Stars,Audrey Coulthurst,Jordan Saia (Illustrator),Balzer + Bray,9780062433251,25164304,hardcover,to-read,,,,Yes,389,2016,2016,3.76,,,English,Fantasy
Not Your Sidekick,C.B. Lee,,,978194505347,44164255,digital,to-read,,,,No,,,,,,,English,Young Adult
The Gilded Wolves,Roshani Chokshi,,Wednesday Books,9781250144546,39863498,hardcover,to-read,,,,No,388,2019,2019,3.71,United States of America,female,English,Fantasy
Bi Any Other Name: Bisexual People Speak Out,"Lani Ka'ahumanu, Loraine Hutchins",,Alyson Books,9781555831745,47326,,to-read,,,,No,408,1991,1991,3.90,,female,English,Nonfiction
True Biz,Sara Nović,,Random House,9780593241509,58395049,hardcover,to-read,,,,No,386,2022,2022,4.08,,,English,Fiction
Noah's Ark,Barbara Trapido,,Penguin,9780140274929,910349,,to-read,,,,No,288,1998,1984,3.64,"United Kingdom, South Africa",female,English,Fiction
The Waste Land and Other Poems,T.S. Eliot,,Harcourt Brace Jovanovich,9780156948777,212105222,paperback,to-read,,,,No,36,2014,1922,4.22,,,English,Poetry
"Over Sea, Under Stone",Susan Cooper,,Aladdin Paperbacks,9780689871214,11312,paperback,to-read,,,,No,196,2004,1965,3.86,,,English,Fantasy
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,,Simon & Schuster Books for Young Readers,9781442408937,15801353,paperback,to-read,,,,No,359,2014,2012,4.31,,,English,Young Adult
Die Farbe der Rache,Cornelia Funke,,Dressler Verlag,9783751300070,33025357,hardcover,to-read,,,,Yes,352,2023,2023,3.96,Germany,female,German,Fantasy
Encyclopedia of an Ordinary Life,Amy Krouse Rosenthal,,Broadway Books,9781400080465,39872,paperback,to-read,,,,No,240,2005,2005,3.95,United States of America,female,English,Nonfiction
Young Romantics: The Tangled Lives of English Poetry's Greatest Generation,Daisy Hay,,"Farrar, Straus and Giroux",9780374123758,6966758,hardcover,to-read,,,,No,384,2010,2010,4.10,United Kingdom,female,English,Nonfiction
The Motherless Oven,Rob Davis,,SelfMadeHero,9781906838812,20702056,paperback,to-read,,,,No,160,2014,2014,3.74,,male,English,Graphic Novels
Persuasion,Jane Austen,"Coralie Bickford-Smith (Illustrator), Gillian Beer (Contributor)",Penguin Classics,9780141197692,11758566,hardcover,to-read,,,,Yes,250,2012,1817,4.15,,female,English,Fiction
Tell it to the Bees,Fiona Shaw,,2009,9780955647666,6767519,paperback,to-read,,,,No,354,2009,2009,4.10,,female,English,LGBT
Tongues Of Flame,Tim Parks,,Grove Pr,9780394552996,870477,,to-read,,,,No,136,1986,,3.58,"Italy, United Kingdom",male,English,Fiction
The Secret History of Moscow,Ekaterina Sedia,,Prime Books,9781607012290,8066024,paperback,to-read,,,,Yes,289,2010,2007,3.39,"United States of America, Russia",female,English,Fantasy
Was Theater kann: Essays und Gespräche,Milo Rau,,Geparden Verlag,9783907406045,131877246,,to-read,,,,No,192,2023,2023,4.33,Switzerland,male,German,2023
Norse Mythology,Neil Gaiman,Neil Gaiman (Narrator),HarperAudio,9780062663641,30988092,audio,read,2023/02/09,,,Yes,,2017,2017,4.10,United Kingdom,male,English,Fantasy
Resurrection Man,Sean Stewart,,Ace,9780441003396,383107,,to-read,,,,No,256,1996,1995,3.65,,male,English,Fantasy
The Quarry Wood,Nan Shepherd,,Canongate Books,9781786891624,39701698,paperback,to-read,,,,No,224,2018,1928,3.58,"United Kingdom, United Kingdom of Great Britain and Ireland",female,English,Fiction
The Inheritance,Matthew Lopez,,Faber & Faber,9780571362264,49097680,paperback,currently-reading,,,,Yes,297,2020,2018,4.51,,male,English,Plays
The Strange and Beautiful Sorrows of Ava Lavender,Leslye Walton,,Walker Books Ltd,9781406357738,22774988,paperback,to-read,,,,Yes,300,2014,2014,4.03,,,English,Fantasy
Ariel,Sylvia Plath,,Faber and Faber,9780571259311,7928877,hardcover,to-read,,,,Yes,81,2010,1965,4.19,United States of America,female,English,Classics
Recipes from the World of Tolkien: Inspired by the Legends,Robert Tuesley Anderson,,Thunder Bay Press,9781645174424,50891603,hardcover,to-read,,,,No,176,2020,2020,4.34,,male,English,Cookbooks
Interview with the Vampire,Anne Rice,,Ballantine Books,9780345337665,60067467,paperback,read,2024/09/16,5.0,,Yes,342,1977,1976,4.02,,female,English,Horror
Tintenherz,Cornelia Funke,,Cecilie Dressler Verlag,9783791504650,292110,hardcover,currently-reading,,,,Yes,564,2003,2003,3.92,Germany,female,German,Fantasy
7000 Islands: A Food Portrait of the Philippines,Yasmin Newman,,Hardie Grant Books,9781742705637,18339912,,to-read,,,,No,352,2014,2014,4.38,,,English,Cookbooks
Clay,David Almond,,Hodder Children's Books,9780340773857,1164286,paperback,to-read,,,,No,296,2006,2005,3.42,"England, United Kingdom",male,English,Young Adult
House of Leaves,Mark Z. Danielewski,,Random House,9780385603102,202335127,paperback,to-read,,,,No,736,2023,2000,4.09,United States of America,male,English,Horror
"Wild Girl, Wild Boy: A Play",David Almond,,Hodder Children's Books,9780340854310,468312,paperback,to-read,,,,No,,2002,2002,4.16,"England, United Kingdom",male,English,Plays
Why I Live at the P.O. and Other Stories,Eudora Welty,,,9780146000164,1369974,paperback,to-read,,,,No,,,,,United States of America,female,English,Short Stories
Quite Early One Morning: Stories,Dylan Thomas,,New Directions,9780811202084,297417,paperback,to-read,,,,No,155,1968,1954,4.11,New Zealand,male,English,Poetry
Maangchi's Big Book of Korean Cooking: From Everyday Meals to Celebration Cuisine,Maangchi,Martha Rose Shulman,Harvest,9781328988126,43261171,hardcover,to-read,,,,No,448,2019,2019,4.59,,female,English,Cookbooks
Maria Stuart,Friedrich Schiller,,Hamburger Lesehefte Verlag,9783872910110,1210420,paperback,read,2024/03/16,4.0,,Yes,128,2005,1800,3.46,Germany,male,German,Classics
Odd Girl Out: An Autistic Woman in a Neurotypical World,Laura James,Louiza Patikas (Narrator),,9781509852130,56433620,audio,did-not-finish,,,,No,,,,,Canada,female,English,Nonfiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,,Del Rey Books,9780345391803,43523593,paperback,to-read,,,,Yes,216,2017,1979,4.23,,male,English,Science Fiction
The Midnight Library,Matt Haig,,Canongate Books Ltd.,9781786892720,54789601,paperback,read,2022/12/03,4.0,"<div>I feel conflicted about this book. So far, I've enjoyed Matt Haig's non-fiction more than his fiction, and I think I might have liked reading about the ideas he presents in this novel more if he'd gone with non-fiction again. There's a clear message about life here, so much so that&nbsp; &lt;spoiler&gt;you pretty much know how the book is gonna end from page one because any other ending would run counter to that message.&lt;/spoiler&gt; So take those ideas and put them in a non-fiction book where none of the Quotable Lines and Explicitly Spelled Out Life Lessons will feel out of place, and we're good! As it is, the writing sometimes felt clunky and weighed down (and generally would have benefited from another round of editing to take out some bits where the same thing is said twice, as if the author had wanted to give himself options and then forgot to pick one) and for a long time, I worried that the plot would become incredibly repetitive, with most of the drive to keep reading coming from &lt;spoiler&gt;wanting to know how each new life was secretly also bad&lt;/spoiler&gt;. But then halfway through, the book did manage to properly engage me and I finished it over the course of one morning, which I'm pretty sure is the longest consecutive amount of time I've spend reading in years. So I figure Matt Haig must have done something right there! And there were some details that contributed to how the story ended (&lt;spoiler&gt;Nora seeing the positive impact she'd had on her community - her neighbour and her piano student&lt;/spoiler&gt;) that I didn't see coming and liked a lot.<br><br>My biggest issue was with the execution of the central mechanic though. I realise that a lot of my issues with this are thanks to me overthinking aspects of the book that probably <em>just weren't the point</em>, so I ultimately decided not to let them influence my rating too much, but I need to write them out to get them out of my head. &lt;spoiler&gt;Okay, so between life and death you get to try out other lives to see if there’s one you’d rather be living, and if you find one you like, you get to stay there. Except you’re thrown into each life without any new memories. You inhabit the body of this alternate you, but apparently some magic science makes it so the make-up of your brain stays exactly the same. I get this as a plot device - Nora slowly untangles the details of each new life she tries out, finding out more about who she is there and what problems this version of herself is dealing with. But if you put me in that position, it would be anxiety central.<br><em>How could you be happy in any other life if you were unceremoniously dumped into it with the same memories and outlook you had when you decided to die? Even if those other lives were actually perfect, how could you be happy in a life with a partner if you couldn't remember the growth you'd been through together? How could you be happy in a life with an exciting job if you couldn't remember the knowledge and skills you needed to do it? How could you be happy in a life where you'd been through new grief or trauma if you </em>c<em>ouldn't remember if you'd already healed from it at all? How could you be happy in a life that doesn't match your current values if you couldn't remember the journey that got you there? How could you be happy in </em><strong><em>any</em></strong><em> life if every social interaction was a minefield because you had to pretend to know who others were or what they were talking about, and if you lacked the context of how you' grown into the person that was living this life?<br></em>It's later shown that if you stay in a life long enough, memories from that life will start to come back. But that doesn't solve the initial problem, which is that ""any conversation could end in you accidentally insulting or hurting the other person, and also you have to feign professional competence that you do not have"" sounds exactly like a good 50% of my stress dreams.<br>And I guess that's the point. That the life you'd want to live isn't any of those other lives but your own, because that life is what shaped you into the person you are now. But if this library could truly give you a chance to discover if other life choices might have been better, it would let you <em>feel</em> what it's actually like to live those lives, not just watch them through the eyes of an alternate you.<br><br>The <em>other</em> thing that bugged me was that I kept feeling sorry for the versions of Nora that presumably had to take over again once she'd decided against her life, with no clear memory of what they'd been doing or why. I had to decide that once Nora visited a life, that decision created one universe in which she hadn't made the decision to visit and that life's original Nora got to live her own life in its entirety, undisturbed by all of this, and one universe in which protagonist-Nora took over - and that this latter universe then split into two parallel universes again at the moment of decision - one universe that we got to see in the novel, in which she was disappointed and returned to the library at that moment, and another universe in which that exact moment was the one in which she decided that this was the life she was content with, and started forgetting about the library. Sshhh I'm right. That must be how it works. I have to tell myself that, or else I'd get incredibly annoyed at Nora for stealing (sometimes quite big!) chunks of time from her other selves and fucking up their lives in the process.&lt;/spoiler&gt;</div>",Yes,288,2020,2020,3.99,United Kingdom,male,English,Fiction
The Smile File: The Precursors of Queen,Christopher John Smith,,Aureus Publishing,9781899750641,148808095,paperback,to-read,,,,No,268,2022,,0.0,,male,English,N/A
The True Tale of the Monster Billy Dean,David Almond,,Candlewick Press,9780763663094,17797383,hardcover,to-read,,,,No,272,2014,2011,3.22,"England, United Kingdom",male,English,Young Adult
In the Kitchen: Essays on Food and Life,,"Rebecca May Johnson, Laura Freeman, Rebecca Liu, Juliet Annan, Daisy Johnson, Nina Mingya Powles, Yemisi Aribisala, Mayukh Sen, Ruby Tandoh, Julia Turshen, Rachel Roddy, Joel Golby, Ella Risbridger",Daunt Books,9781911547662,54828706,paperback,to-read,,,,Yes,178,2020,2020,4.05,,,English,Nonfiction
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,,Quirk Books,9781594745133,11058389,digital,to-read,,,,No,352,2011,2011,3.92,United States of America,male,English,Fantasy
The Waves,Virginia Woolf,Jeanette Winterson (Contributor),Penguin,9781784870843,28501520,paperback,to-read,,,,Yes,240,2016,1931,4.15,United Kingdom,female,English,Classics
Gideon the Ninth,Tamsyn Muir,,Tor,9781250313195,42036538,hardcover,to-read,,,,No,448,2019,2019,4.21,"New Zealand, Australia",female,English,Fantasy
Relic,Douglas Preston,Lincoln Child,Tor Books,9780765354945,67035,paperback,to-read,,,,Yes,480,2005,1995,4.05,United States of America,male,English,Horror
Oranges Are Not the Only Fruit,Jeanette Winterson,,,9780802135162,16475459,paperback,to-read,,,,No,,,,,United Kingdom,female,English,Fiction
Translation State,Ann Leckie,,Orbit,9780316289719,62873999,hardcover,to-read,,,,No,422,2023,2023,4.09,United States of America,female,English,Science Fiction
Johannes Cabal the Necromancer,Jonathan L. Howard,,Anchor,9780767930765,7108656,paperback,to-read,,,,No,290,2010,2009,3.93,United Kingdom,male,English,Fantasy
They Both Die at the End,Adam Silvera,"Michael Crouch (Narrator), Robbie Daymond (Narrator), Bahni Turpin (Narrator)",HarperCollins Publishing and Blackstone Audio,9781538456903,36412949,audio,read,2022/01/07,3.0,"<div>&nbsp;<em>&lt;spoiler&gt;</em> Right. I will say that this book is a good example of the idea of interest in a story not being based on how it ends but on how it gets there, because I definitely made my way through the audiobook much quicker than I usually do, wanting to find out more about how exactly the protagonists' story was going to end. How much of my investment in the main characters' fates was thanks to the writing and how much of it was thanks to their respective audiobook narrators doing a good job? I can't tell.<br><br>That said, while I enjoyed the chapters told from the POV of the two protagonists, there were also many chapters with other POVs that I found worthwhile to, let's say, varying degrees. The chapters focusing on side characters like friends of the protagonists who had been introduced previously were nice enough, but many of the others felt like I just wanted to get through them and return to the main plot as quickly as possible. There was a whole secondary narrative about a journalist who doesn't believe her alert that she's dying that day is real, and a celebrity also due to die that she wants to interview, which I really felt added very, very little to the story all the way through. I expected her fate to be cleverly tied to at least one of the protagonists' deaths, and it kind of was, but not in a way that really justifies the presence of this side plot at all. Rufus could have been hit by just about any car; I don't see how that would have made a difference.<br><br>Also, I honestly still can't quite take the world building seriously. There was some attempt to explore how society would change if people knew they were going to die on the day it was due to happen, but I didn't feel like it was quite thought through enough, and thinking about that distracted me from the story more than once. The book addresses the logical questions of its premise with remarks like ""well, no one knows how it works!"" I guess I'm just not quite ready to embrace that ambiguity.<em>&lt;/spoiler&gt;</em>&nbsp;</div>",No,1,2017,2017,3.76,United States of America,male,English,Young Adult
Grendel,John Gardner,,Random House Vintage Books,9780679723110,676737,paperback,to-read,,,,No,174,2010,1971,3.69,,male,English,Fiction
Elantris,Brandon Sanderson,,Tor Fantasy,9780765350374,68427,paperback,to-read,,,,Yes,638,2006,2005,4.18,United States of America,male,English,Fantasy
Twelve Months of Monastery Soups: A Cookbook,Victor D'Avila-Latourrette,,Clarkson Potter,9780767901802,29029,paperback,to-read,,,,No,208,1998,1996,4.22,,,English,Cookbooks
Dagger: On Butch Women,"Lily Burana, Roxxie, Linnea Due",,Cleis Pr,9780939416820,382379,paperback,to-read,,,,No,220,1994,1994,3.96,United States of America,female,English,Queer
"Small Town, Big Magic",Hazel Beck,,Graydon House,9781525804717,59952170,paperback,to-read,,,,No,411,2022,2022,3.32,,,English,Fantasy
The Probability of Miracles,Wendy Wunder,,Razorbill,9781595143686,10710505,hardcover,to-read,,,,No,360,2011,2011,3.90,,,English,Young Adult
"Botanical Shakespeare: An Illustrated Compendium of All the Flowers, Fruits, Herbs, Trees, Seeds, and Grasses Cited by the World's Greatest P","Sumie Hasegawa Collins, Gerit Quealy",,Harper,9780062469892,30653749,hardcover,to-read,,,,No,208,2017,2017,4.20,United States of America,female,English,Nonfiction
Moving Pictures,Terry Pratchett,,Corgi,9780552134637,618221,paperback,to-read,,,,Yes,332,2011,1990,3.97,United Kingdom,male,English,Fantasy
Demons in Eden: The Paradox of Plant Diversity,Jonathan Silvertown,,University of Chicago Press,9780226757711,376050,,to-read,,,,No,192,2005,2005,3.94,,male,English,Nonfiction
"Unfuck Your Brain: Using Science to Get Over Anxiety, Depression, Anger, Freak-Outs, and Triggers",Faith G. Harper,,Microcosm Pub,9781621063049,33920993,paperback,to-read,,,,No,192,2017,2017,3.32,,,English,Self Help
The Importance of Being Earnest and Other Plays,Oscar Wilde,Richard Allen Cave (Contributor),Penguin Classics,9780140436068,92308,paperback,to-read,,,,Yes,431,2001,1898,4.24,"Ireland, France, United Kingdom, United Kingdom of Great Britain and Ireland",male,English,Classics
Dykes to Watch Out For,Alison Bechdel,,Firebrand Books,9780932379177,65977,,to-read,,,,No,78,1986,1986,4.17,United States of America,female,English,Graphic Novels
Strong Female Character,Fern Brady,,Brazen,9781914240447,59903149,hardcover,to-read,,,,No,288,2023,2023,4.48,United Kingdom,female,English,Nonfiction
Maurice,E.M. Forster,"David Leavitt (Contributor), P.N. Furbank (Contributor)",Penguin,9780141441139,262147,paperback,currently-reading,,,,Yes,272,2005,1971,4.08,,,English,Classics
My Name Is Mina,David Almond,,Hodder Children's Books,9780340997253,8526585,hardcover,to-read,,,,Yes,320,2010,2010,3.93,"England, United Kingdom",male,English,Young Adult
Korean Home Cooking: Classic and Modern Recipes,"Rachel Wharton, Sohui Kim",,Abrams Books,9781419732409,38917308,hardcover,to-read,,,,No,304,2018,,4.30,,,English,Cookbooks
Whose Names Are Unknown,Sanora Babb,Lawrence R. Rodgers (Contributor),University of Oklahoma Press,9780806137124,1197158,paperback,to-read,,,,No,222,2006,2004,4.12,United States of America,female,English,Fiction
You Are Here: Poetry in the Natural World,Ada Limón,,Milkweed Editions,9781571315687,192723639,hardcover,to-read,,,,No,176,2024,2024,4.10,,,English,Poetry
A Kind of Heaven: Stories,David Almond,,Iron Press,9780906228623,841015,,to-read,,,,No,112,1997,1997,3.67,"England, United Kingdom",male,English,Short Stories
Clean Architecture: A Craftsman's Guide to Software Structure and Design,Robert Martin,,Prentice Hall,9780134494166,18043011,paperback,to-read,,,,No,432,2017,2017,4.23,,male,English,Programming
Die Welt im Rücken,Thomas Melle,,Rowohlt Berlin,9783871341700,31616298,paperback,to-read,,,,No,352,2016,2016,4.04,Germany,male,German,Nonfiction
The Village Against the World,Dan Hancox,,Verso,9781781682982,18465966,paperback,to-read,,,,Yes,256,2014,2013,3.82,,,English,Politics
Cemetery Boys,Aiden Thomas,,Swoon Reads,9781250250469,52339313,hardcover,to-read,,,,No,344,2020,2020,4.27,United States of America,non-binary,English,Fantasy
In a Glass Darkly,J. Sheridan Le Fanu,,Oxford University Press,9780192839473,837422,paperback,to-read,,,,No,384,1999,1872,3.85,,,English,Horror
Too Much Happiness,Alice Munro,,Alfred A. Knopf,9780307269768,6464937,hardcover,to-read,,,,No,304,2009,2009,3.83,,,English,Short Stories
Marriage of Unconvenience,Chelsea M. Cameron,,,B07G1TF4X6,40947502,digital,to-read,,,,No,,,,,,,English,Romance
Alec,William di Canzio,,"Farrar, Straus and Giroux",9780374102609,54785525,hardcover,to-read,,,,No,340,2021,2021,4.21,United States of America,male,English,Historical Fiction
The Pragmatic Programmer: From Journeyman to Master,"Andrew Hunt, Dave Thomas",,PEARSON INDIA,9788131722428,25235965,paperback,to-read,,,,No,352,2008,1999,4.33,,male,English,Programming
A Christmas Carol,Charles Dickens,,Penguin Books,9780141389479,15994514,paperback,to-read,,,,No,94,2012,1843,4.08,,male,English,Fiction
Jane Austen and the War of Ideas,Marilyn Butler,,Clarendon Press,9780198129684,1001337,paperback,to-read,,,,No,350,1988,1988,3.92,United Kingdom,female,English,Literary Criticism
A Conspiracy of Truths,Alexandra Rowland,,Gallery / Saga Press,9781534412811,42201331,paperback,to-read,,,,No,453,2019,2018,3.93,United States of America,female,English,Fantasy
A Room With a View,E.M. Forster,,Digireads.Com,9781420925432,3087,paperback,to-read,,,,No,119,2005,1908,3.90,,,English,Classics
Orlando,Virginia Woolf,"Peter Ackroyd (Contributor), Margaret Reynolds (Contributor)",Vintage Classics,9781784870850,28501521,paperback,currently-reading,,,,Yes,239,2016,1928,3.87,United Kingdom,female,English,Classics
"Doom Patrol, Vol. 1: Crawling from the Wreckage",Grant Morrison,"Richard Case, Carlos Garzon, Doug Braithwaite, John Nyberg, Scott Hanna",Vertigo,9781563890345,22355,paperback,to-read,,,,No,192,2000,1989,4.10,"Scotland, United Kingdom",non-binary,English,Comics
Beloved,Toni Morrison,,Vintage,9781400033416,6149,paperback,to-read,,,,No,325,2004,1987,3.96,United States of America,female,English,Fiction
Howards End,E.M. Forster,,Penguin Classic,9780141199405,15822373,paperback,read,2024/03/02,5.0,,Yes,382,2012,1910,3.96,United Kingdom,male,English,Fiction
The Defectives,Burgandi Rakoska,,CreateSpace Independent Publishing Platform,9781533483522,31695462,paperback,to-read,,,,Yes,206,2016,2016,4.19,,,English,Fantasy
Final Draft,Riley Redgate,Mariand Torres (Narrator),Abrams Audio,9781683354420,46150472,audio,read,2023/01/25,3.0,,No,8,2018,2018,3.47,United States of America,female,English,Contemporary
Arctic Summer,Damon Galgut,,Atlantic Books,9781782391593,24751704,paperback,to-read,,,,No,368,2015,2014,3.78,South Africa,male,English,Fiction
Good Omens,"Neil Gaiman, Terry Pratchett",,Corgi,9780552137034,45893850,paperback,read,2023/09/21,,,Yes,415,2014,1990,4.26,United Kingdom,male,English,Fantasy
The Blue Zones American Kitchen: 100 Recipes to Live to 100,"Dan Buettner, Dan Buettner",,National Geographic,9781426222474,60382918,hardcover,to-read,,,,No,304,2022,,3.72,United States of America,male,English,Cookbooks
